0,1,2,3
HOMEZ,6,0.11538461538461539,[7]
TCEA3,10,0.11494252873563218,[7]
KLF13,8,0.11428571428571428,[7]
PIGG,4,0.11428571428571428,[7]
PDHX,4,0.11428571428571428,[7]
FGFBP3,6,0.11320754716981132,[7]
CH17-340M24.3,8,0.11267605633802817,[7]
RASSF7,11,0.11224489795918367,[7]
FAM111A,12,0.11214953271028037,[7]
NCAPD2,12,0.11214953271028037,[7]
SMC4,21,0.1111111111111111,[7]
TMEM185A,5,0.1111111111111111,[7]
ZBED8,4,0.1111111111111111,[7]
KIAA0753,4,0.1111111111111111,[7]
SCARA3,3,0.1111111111111111,[7]
HIST1H4C,35,0.109717868338558,[7]
SGTA,11,0.10891089108910891,[7]
MTOR,5,0.10869565217391304,[7]
BEND5,5,0.10869565217391304,[7]
NUSAP1,14,0.10852713178294573,[7]
ANKRD13C,4,0.10810810810810811,[7]
C4orf36,3,0.10714285714285714,[7]
TMEM187,3,0.10714285714285714,[7]
CCDC84,3,0.10714285714285714,[7]
FAM168A,5,0.10638297872340426,[7]
BAP1,7,0.10606060606060606,[7]
WBP4,12,0.10526315789473684,[7]
PITHD1,10,0.10526315789473684,[7]
CTSF,8,0.10526315789473684,[7]
RASGEF1B,4,0.10526315789473684,[7]
ADCY3,2,0.10526315789473684,[7]
ERAL1,11,0.10476190476190476,[7]
MIPOL1,5,0.10416666666666667,[7]
OIP5,5,0.10416666666666667,[7]
SLC30A7,9,0.10344827586206896,[7]
ACVR1B,9,0.10344827586206896,[7]
ZFYVE9,3,0.10344827586206896,[7]
C9orf69,3,0.10344827586206896,[7]
ZBTB14,3,0.10344827586206896,[7]
NUP35,7,0.10294117647058823,[7]
SCAI,7,0.10294117647058823,[7]
PEX6,4,0.10256410256410256,[7]
CYTH3,4,0.10256410256410256,[7]
RHPN1,4,0.10256410256410256,[7]
BUB1B,4,0.10256410256410256,[7]
APTX,5,0.10204081632653061,[7]
MYO1E,5,0.10204081632653061,[7]
TMEM185B,6,0.1016949152542373,[7]
ARHGAP12,7,0.10144927536231885,[7]
INAFM1,8,0.10126582278481013,[7]
CEP78,10,0.10101010101010101,[7]
CACNA1C,11,0.10091743119266056,[7]
SNW1,14,0.1,[7]
MME,6,0.1,[7]
FPGS,6,0.1,[7]
VANGL1,4,0.1,[7]
MELK,4,0.1,[7]
DDX28,4,0.1,[7]
COMMD4,15,0.09933774834437085,[7]
NFKBIL1,11,0.0990990990990991,[7]
TROAP,9,0.0989010989010989,[7]
RACGAP1,8,0.09876543209876543,[7]
DLEU1,8,0.09876543209876543,[7]
ZNF669,8,0.0975609756097561,[7]
MCC,4,0.0975609756097561,[7]
RAD51AP1,11,0.09734513274336283,[7]
RMND5B,9,0.0967741935483871,[7]
CTD-2035E11.4,6,0.0967741935483871,[7]
PAK3,3,0.0967741935483871,[7]
HOMER2,3,0.0967741935483871,[7]
GMDS,8,0.0963855421686747,[7]
ABCC4,5,0.09615384615384616,[7]
LRR1,5,0.09615384615384616,[7]
MKS1,5,0.09615384615384616,[7]
